rec_id,record_url,Item Number,Title,Language,Other Language,Pages,Captured Date,Report Date,Intel Date,Batch Number,Origin Office,Human Source Number,Col. Proj. Number,Source,Country,Related Country,Security Classification,Document Type,Map Locations,map_grid_ref,map_lat,map_lon,Log Number,Intel,Subject,Keyword,Organization,Personality,Location,Location C,Location P
95,https://cdec.vietnam.ttu.edu/search/item.php?rec=95,F034601001869,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 05-1942-67, 03/30/1967, CTZ 3, Tay Ninh Province",English,Vietnamese,6,1967/03/30,1967/04/11,1966/04/30,67 0851,,,,Viet Cong,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,Foreign Organizations | Doc Indexed MACV | Captured Official Documents | Fixed zero | Indexing system used,"48PXT3868 [11.47112°, 106.2618°]",48PXT3868,11.47112,106.2618,05-1942-67,"Resources, Commodities & Weapons | Quartermaster & Miscellaneous Military Equipment | Subsistence Equipment | Rations | Armed Forces | Staff Level Organizations | Personnel, Administration, Political Control | Governmental Politics, & International Activities & Institutes | Communism & the Communist Party | National Party Organization | Territorial Organization | Meetings | Armed Forces | Administrative Organizations, Bureaus, Directorates, & Technical Services | Other | Governmental Politics, & International Activities & Institutes | Communism & the Communist Party | Indications & Evidences of Vulnerability of Party | Variations Between Doctrine & Activities | Special Privileges Granted to Party Members",Log # 05-1942-67 | Military in General | Combined Document Exploitation Center,Political Officer | Rear | POLITI | REAR,Unit UT-B3 | Unit UT-C942 | Group GP-TAYNINH | Group GP-680 | Battalion BN-604 | Work Site WS-9 | Unit UT-B3 | Division DN-9,Nguyen Loc | Loc | Du | C:TU | Nguyen Chi Lam | Lam,CTZ 3,Combat Tactical Zone 3,Tay Ninh
308,https://cdec.vietnam.ttu.edu/search/item.php?rec=308,F034601000140,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 04-3241-67, 03/31/1967, CTZ 3, Tay Ninh Province",English,Vietnamese,16,1967/03/31,1967/04/07,1966/09/00,67 0791,,,,Viet Cong,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,Foreign Organizations | Doc Indexed MACV | Captured Personal Documents | Fixed zero | Indexing system used,"48PXT3868 [11.47112°, 106.2618°]",48PXT3868,11.47112,106.2618,04-3241-67,"Resources, Commodities & Weapons | Ground Weapons & Ammunition | Resources, Commodities & Weapons | Naval Weapons & Ammunition | Guns & Rockets | Unknown 7A Code | Governmental Politics, & International Activities & Institutes | Internal Security & Counter intelligence | Civilian & Military Security Systems | Codes & Ciphers",Log # 04-3241-67 | Order of Battle | Sighting of Military Equipment | Operations | Military in General | Combined Document Exploitation Center,Unknown G Description | Unknown G Description | HQ | ROCKET,US 4th Inf. Div. | Group GP-82 | Group GP-81 | Group GP-83 | Group GP-84 | Unit UT-C68 | Unit UT-B155 | Unit UT-A58 | Unit UT-B27 | Unit UT-K77 | Unit UT-A2 | Unit UT-B24 | Unit UT-C10,,CTZ 3 | Suoi May | Soc Lao | Ban Ha | Lo Thang | BAHAO | Boi Loi | CTZ 3 | CTZ 3 | SUOIONGHUNG | CTZ 3 | CTZ 3,Combat Tactical Zone 3 | Combat Tactical Zone 3 | Combat Tactical Zone 3 | Combat Tactical Zone 3 | Combat Tactical Zone 3,Tay Ninh | Tay Ninh | Binh Long | Tay Ninh | Binh Long
474,https://cdec.vietnam.ttu.edu/search/item.php?rec=474,F034600991303,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 35-2367-67, , CTZ 3, Binh Long Province",English,Vietnamese,3,,1967/05/11,1967/05/04,67 0842,,,,Unknown,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,"Joint UCS, DIA, CINCPAC, MACV and other unified commands | Doc Indexed MACV | State DEpartment Telegram | Fixed zero | Indexing system used",,,,,35-2367-67,Armed Forces | Tactics & Operations | General | Transportation | Road,Log # 35-2367-67 | Operations | Combined Document Exploitation Center,,,,CTZ 3 | Loc Ninh | BUBOP,Combat Tactical Zone 3,Binh Long
619,https://cdec.vietnam.ttu.edu/search/item.php?rec=619,F034600990709,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 41-2567-67, , CTZ 3, Binh Duong Province",English,Vietnamese,3,,1967/05/16,1967/05/12,67 0847,,,,Unknown,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,"Joint UCS, DIA, CINCPAC, MACV and other unified commands | Doc Indexed MACV | State DEpartment Telegram | Fixed zero | Indexing system used","48PXT7849 [11.29754°, 106.62746°]",48PXT7849,11.29754,106.62746,41-2567-67,"Armed Forces | Irregular & Paramilitary Forces | Unconventional Forces | Armed Forces | Troop & Supply Movement Statistics, Methods, & Operating Procedures | Road & Overland | Methods & Operating Procedures",Log # 41-2567-67 | Combined Document Exploitation Center,Troops | TROOPS,Group GP-,,CTZ 3 | Bau Bang | Loc Ninh | Sai Gon,Combat Tactical Zone 3,Binh Duong
787,https://cdec.vietnam.ttu.edu/search/item.php?rec=787,F034600982539,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 33-6167-67, , Unknown D Description",English,Vietnamese,4,,1967/05/17,1967/05/01,67 0839,,,,Unknown,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,"Joint UCS, DIA, CINCPAC, MACV and other unified commands | Doc Indexed MACV | State DEpartment Telegram | Fixed zero | Indexing system used",,,,,33-6167-67,"Armed Forces | Ground Forces | Infantry | Brigades, Regiments, Battalions, & Smaller Units | Armed Forces | Tactics & Operations | Ground Tactics & Operating Procedures | Infantry | Attack | Armed Forces | Mission & Objectives",Log # 33-6167-67 | Order of Battle | Operations | Combined Document Exploitation Center,,Regiment RT-Q766,,BAOLAMBE | Loc Ninh | BAUQIET | BAOCO | CTZ 3,Combat Tactical Zone 3,Tay Ninh
1641,https://cdec.vietnam.ttu.edu/search/item.php?rec=1641,F034600962140,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 20-1567-67, , CTZ 3, Tay Ninh Province",English,Vietnamese,5,,1967/04/28,1967/04/21,67 0738,,,1967-U0790,Unknown,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,"Joint UCS, DIA, CINCPAC, MACV and other unified commands | Doc Indexed MACV | State DEpartment Telegram | Fixed zero | Indexing system used","48PXT5033 [11.15418°, 106.37029°]",48PXT5033,11.15418,106.37029,20-1567-67,"Armed Forces | Troop & Supply Movement Statistics, Methods, & Operating Procedures | Road & Overland | Methods & Operating Procedures | Armed Forces | Troop & Supply Movement Statistics, Methods, & Operating Procedures | Water | Methods & Operating Procedures | Resources, Commodities & Weapons | Ground Weapons & Ammunition | Infantry Antitank Weapons | Ammunition | Resources, Commodities & Weapons | Ground Weapons & Ammunition | Land Mines & Demolition Equipment | Resources, Commodities & Weapons | Ground Weapons & Ammunition | Small Arms | Ammunition | Resources, Commodities & Weapons | Weapons, Ammunition, & Military Equipment | Ammunition and-or Explosives | Transportation & Communication Systems | Communications, Electronic Systems, General | Networks, Communication Centers | Unknown 7A Code",Log # 20-1567-67 | Transportation Techniques | Combined Document Exploitation Center,Route-1 | Commo-Liason | Supply | RTE1 | COMMOL | SUPPLY,,,CTZ 3 | Loc Giang | VAMCODONG | Trang Bang | RONGTUONG | Ban Cheo | Boi Loi,Combat Tactical Zone 3,Tay Ninh
1766,https://cdec.vietnam.ttu.edu/search/item.php?rec=1766,F034600961331,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 05-2006-67, 02/28/1967, CTZ 3, Tay Ninh Province",English,Vietnamese,56,1967/02/28,1967/03/04,1965/11/26,67 0827,,,,Viet Cong,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,Foreign Organizations | Doc Indexed MACV | Captured Official Documents | Fixed zero | Indexing system used,"48PXT3093 [11.69747°, 106.18943°]",48PXT3093,11.69747,106.18943,05-2006-67,"Science & Technology, Engineering | Geography & Cartography | Military Geography | Infiltration & Exfiltration Routes | Armed Forces | Staff Level Organizations | Personnel, Administration, Political Control | Armed Forces | Operations Against Foreign Countries | Specific Operations or Battles | Armed Forces | Ground Forces | Artillery | Armed Forces | Tactics & Operations | Ground Tactics & Operating Procedures | Infantry | Attack | Armed Forces | Ground Forces | Infantry | Brigades, Regiments, Battalions, & Smaller Units",Log # 05-2006-67 | Operations | Combined Document Exploitation Center,Political Officer | Unknown G Description | Cover designations | POLITI | LAHQ | COVER,Other Organization | Unit UT-B8 | Letter box number LB-86300YK | Letter box number LB-86300YK | Work Site WS-9 | Unit UT-D3 | Unit UT- | Detachment DT-PHAN3 | Unit UT-T7 | Regiment RT-0763 | Regiment RT-101 | Unit UT-C2 | Unit UT-C3 | Unit UT-Q1 | Regiment RT-Q761 | Unit UT-D8 | Unit UT-D7 | Unit UT-D9 | Work Site WS-10 | Regiment RT-E13 | Unit UT-C1 | Unit UT-D1 | Unit UT-D1 | Unit UT-C12 | Unit UT-D9 | Unit UT-17 | Unit UT-B3 | Letter box number LB-1805B | Letter box number LB-HN10120A | Unit UT-B1 | Unit UT-B5 | Letter box number LB-8200B | Unit UT-Q3 | Unit UT-Q3 | Unit UT-C14 | Unit UT-D9 | Unit UT-C2 | Unit UT-D7 | Unit UT-C13 | Work Site WS-9,Do Trong Hoi | Hoi | Truong Son | Son | Tam Nam | Nam | Do Toan | Toan | C:TAXUANTUAN | Tuan | Pham Tri | Tri | Truong | C:AN | C:BAQUAI | Qua | Banh Uoc | C:NHUOC | Manh | Tuy | C:YEN | Tran Van San | San | Manh | Tuy | C:YEN | Tran Van San | San | Hong Van Binh | Binh | Nguyen Van Tie | Tiet | Huynh Van | Guong | Bay Guong | Guong | Nam Co | Co | Cao Khoa | Khoa,CTZ 3 | PHONGTHUONG | DRV | DRV | PHONGTHUONG | DRV | DRV | EMUN | CTZ 2 | HAMLET | Loc Ninh | BAONHUM | DRV,Combat Tactical Zone 3 | DRV | DRV | DRV | DRV | Combat Tactical Zone 2 | DRV,Tay Ninh | Thanh Hoa | Thanh Hoa | Thanh Hoa | Thanh Hoa | Kontum | Thai Binh
1952,https://cdec.vietnam.ttu.edu/search/item.php?rec=1952,F034600951559,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 20-0167-67, , CTZ 3, Binh Long Province, Loc Ninh District",English,Vietnamese,3,,1967/04/28,1967/04/18,67 0737,,,,Unknown,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,"Joint UCS, DIA, CINCPAC, MACV and other unified commands | Doc Indexed MACV | State DEpartment Telegram | Fixed zero | Indexing system used",,,,,20-0167-67,"Armed Forces | Ground Forces | Infantry | Brigades, Regiments, Battalions, & Smaller Units | Resources, Commodities & Weapons | Quartermaster & Miscellaneous Military Equipment | Clothing & Related Equipment | Armed Forces | Mission & Objectives | Armed Forces | Supply Methods & Operating Procedures | Other",Log # 20-0167-67 | Order of Battle | Product Specifications and Description | Offers to Sell | Combined Document Exploitation Center,Route-13 | RTE13,Unit UT- | Division DN-9,,CTZ 3,Combat Tactical Zone 3,Binh Long
1964,https://cdec.vietnam.ttu.edu/search/item.php?rec=1964,F034600951521,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 19-8967-67, , CTZ 4, Bac Lieu Province, Phuoc Long District",English,Vietnamese,4,,1967/04/28,1967/04/22,67 0737,,,,Unknown,"The Viet Cong, Central Office, SVN, NLFVN",,Confidential | No Control | No Release Restriction | Raw Intelligence,"Joint UCS, DIA, CINCPAC, MACV and other unified commands | Doc Indexed MACV | State DEpartment Telegram | Fixed zero | Indexing system used","48PXU8113 [11.87594°, 106.65834°]",48PXU8113,11.87594,106.65834,19-8967-67,"Governmental Politics, & International Activities & Institutes | Communism & the Communist Party | National Party Organization | Territorial Organization | Sectional Organization | Governmental Politics, & International Activities & Institutes | Internal Security & Counter intelligence | Restrictions | Travel Restrictions | Commerce, Industry, Finance | Government Finance, Banking & Credit, Monetary System | Revenue | Taxes | Armed Forces | Ground Forces | Infantry | Brigades, Regiments, Battalions, & Smaller Units | Governmental Politics, & International Activities & Institutes | Communism & the Communist Party | National Party Organization | Central Committee | Finance Department | Armed Forces | Supply Methods & Operating Procedures | Other",Log # 19-8967-67 | Order of Battle | Offers to Sell | Combined Document Exploitation Center,Checkpoint | CHECKP,Unit UT-923,C:UTXOM | C:XOM,CTZ 4 | Loc Ninh,Combat Tactical Zone 4,Bac Lieu
2344,https://cdec.vietnam.ttu.edu/search/item.php?rec=2344,F034600940537,"Captured Documents (CDEC): Unknown Interrogation Source, Log Number 00-0817-67, , CTZ 3, Binh Long Province, Loc Ninh District",English,Vietnamese,8,,1967/05/10,1967/05/09,67 0789,,,,United States,"South Vietnam, Saigon Government",,Confidential | No Control | No Release Restriction | Raw Intelligence,Foreign Organizations | Doc Indexed MACV | Daily Intelligence Summary | Fixed zero | Indexing system used,,,,,00-0817-67,Armed Forces | Insurgent Movements | Organization | Armed Forces | Insurgent Movements | Relations With & Attitudes Toward Domestic Groups & Government | Armed Forces | Insurgent Movements | Operations | Losses of Personnel & Equipment,Log # 00-0817-67 | Order of Battle | Combined Document Exploitation Center,,Other Organization | Regiment RT-Q12 | Battalion BN-,Chau | C:SEN | Chau | Chau | C:RA,CTZ 3,Combat Tactical Zone 3,Binh Long
